City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kavaratti,10.5669,72.642,28.18,83,100,8.91,IN,1690137068
1,albany,42.6001,-73.9662,30.02,50,41,0.89,US,1690137002
2,port-aux-francais,-49.35,70.2167,6.2,84,50,17.32,TF,1690137040
3,nova sintra,14.8667,-24.7167,22.97,77,96,5.05,CV,1690137097
4,wailua homesteads,22.0669,-159.378,25.44,90,100,6.69,US,1690137046
5,baalbek,34.0058,36.2181,22.36,35,0,0.17,LB,1690137434
6,coahuayana de hidalgo,18.7,-103.6583,30.67,59,95,0.74,MX,1690137434
7,yuzhno-sukhokumsk,44.6581,45.6436,29.25,46,100,2.59,RU,1690137434
8,tiksi,71.6872,128.8694,4.92,72,7,2.61,RU,1690137048
9,nova xavantina,-14.6667,-52.35,33.28,22,0,2.65,BR,1690137435
10,grytviken,-54.2811,-36.5092,-6.12,77,19,4.27,GS,1690137040
11,constitucion,-35.3333,-72.4167,12.84,61,100,3.22,CL,1690137129
12,bairnsdale,-37.8333,147.6167,5.03,94,57,2.84,AU,1690137435
13,invercargill,-46.4,168.35,8.13,93,96,0.68,NZ,1690137055
14,punta arenas,-53.15,-70.9167,2.35,71,10,4.22,CL,1690136778
15,trail,49.0998,-117.7022,32.6,21,0,1.98,CA,1690137435
16,miquelon,47.0975,-56.3814,18.0,100,100,7.98,PM,1690137335
17,betioky,-23.7167,44.3833,16.22,90,0,1.78,MG,1690137436
18,lhasa,29.65,91.1,14.65,77,100,1.04,CN,1690137436
19,kidal,18.4411,1.4078,37.97,23,24,2.35,ML,1690137436
20,howard springs,-12.497,131.047,18.95,22,67,5.94,AU,1690137065
21,machiques,10.0644,-72.545,34.66,47,100,2.04,VE,1690137436
22,ichinomiya,35.3,136.8,26.12,79,32,0.71,JP,1690137436
23,adamstown,-25.066,-130.1015,20.53,70,4,8.42,PN,1690137040
24,papatowai,-46.5619,169.4708,8.74,96,100,1.59,NZ,1690137057
25,ta`u,-14.2336,-169.5144,26.48,82,19,6.91,AS,1690137437
26,okhotsk,59.3833,143.3,14.94,77,8,2.31,RU,1690137131
27,fale old settlement,-9.3852,-171.2468,28.0,79,19,5.82,TK,1690137045
28,hawaiian paradise park,19.5933,-154.9731,23.91,98,100,3.09,US,1690137047
29,severo-yeniseyskiy,60.3725,93.0408,14.17,94,68,1.13,RU,1690137100
30,avarua,-21.2078,-159.775,25.03,100,75,3.6,CK,1690137053
31,ypsonas,34.6884,32.9574,31.27,70,0,1.54,CY,1690137437
32,yellowknife,62.456,-114.3525,21.29,56,100,4.12,CA,1690137042
33,tommot,58.9564,126.2925,15.44,93,1,0.76,RU,1690137078
34,bilibino,68.0546,166.4372,17.04,65,70,1.12,RU,1690137042
35,nova vicosa,-17.8919,-39.3719,22.74,86,24,6.39,BR,1690137438
36,salekhard,66.53,66.6019,14.67,94,92,3.09,RU,1690137438
37,waitangi,-43.9535,-176.5597,11.57,97,98,1.34,NZ,1690137043
38,port lincoln,-34.7333,135.8667,12.8,73,100,3.25,AU,1690137055
39,lihue,21.9789,-159.3672,25.77,90,100,6.69,US,1690137108
40,stanley,54.868,-1.6985,12.38,92,40,5.14,GB,1690137056
41,margaret river,-33.95,115.0667,9.77,79,0,3.87,AU,1690137055
42,mishelevka,52.8575,103.1719,15.28,98,100,4.03,RU,1690137438
43,geraldton,-28.7667,114.6,8.23,61,0,2.06,AU,1690137104
44,blackmans bay,-43.0167,147.3167,9.18,78,81,1.79,AU,1690137048
45,puerto natales,-51.7236,-72.4875,1.81,82,7,0.87,CL,1690137046
46,arkhangel'sk,64.5401,40.5433,10.98,96,100,1.51,RU,1690137439
47,nouadhibou,20.931,-17.0347,24.99,65,86,9.26,MR,1690137070
48,kemise,10.7167,39.8667,22.9,65,100,2.49,ET,1690137439
49,kingston,17.997,-76.7936,34.58,68,20,11.83,JM,1690136800
50,berdigestyakh,62.0989,126.6992,16.84,77,3,1.5,RU,1690137052
51,olonkinbyen,70.9221,-8.7187,4.88,88,95,4.82,SJ,1690137049
52,qal'ah-ye shahr,35.5473,65.5676,16.54,40,87,0.93,AF,1690137439
53,jamestown,42.097,-79.2353,26.96,49,75,2.57,US,1690136991
54,ushuaia,-54.8,-68.3,1.81,80,75,8.75,AR,1690136975
55,atafu village,-8.5421,-172.5159,28.23,78,3,6.63,TK,1690137057
56,puerto ayacucho,5.6639,-67.6236,27.4,80,70,2.44,VE,1690137440
57,hamilton,39.1834,-84.5333,30.68,50,40,3.6,US,1690137042
58,akureyri,65.6835,-18.0878,10.96,93,100,3.6,IS,1690137113
59,klaksvik,62.2266,-6.589,8.51,82,100,7.19,FO,1690137147
60,rongelap,11.1635,166.8941,28.44,73,20,8.97,MH,1690137097
61,las veredas,23.1388,-109.7075,34.42,63,40,6.17,MX,1690137440
62,kerikeri,-35.2268,173.9474,9.76,90,1,2.99,NZ,1690137440
63,megion,61.0296,76.1136,21.01,73,17,0.18,RU,1690137440
64,arraial do cabo,-22.9661,-42.0278,24.92,69,40,9.26,BR,1690137441
65,happy valley-goose bay,53.3168,-60.3315,25.17,65,75,1.54,CA,1690137048
